,0
0,LOC102723897
1,NOC2L
2,AGRN
3,TNFRSF4
4,SCNN1D
5,TAS1R3
6,MXRA8
7,CCNL2
8,MRPL20
9,ANKRD65
10,MIB2
11,MMP23B
12,CDK11A
13,NADK
14,KIAA1751
15,PEX10
16,PLCH2
17,PANK4
18,MMEL1
19,TTC34
20,PRDM16
21,TPRG1L
22,CEP104
23,DFFB
24,KCNAB2
25,CHD5
26,RNF207
27,HES3
28,PLEKHG5
29,TAS1R1
30,THAP3
31,SLC45A1
32,CA6
33,SLC2A7
34,SLC2A5
35,H6PD
36,TMEM201
37,PIK3CD
38,UBE4B
39,KIF1B
40,C1orf127
41,MASP2
42,FBXO44
43,CLCN6
44,KIAA2013
45,TNFRSF8
46,TNFRSF1B
47,VPS13D
48,AADACL3
49,HNRNPCL1
50,LOC649330
51,HNRNPCP5
52,PRAMEF19
53,PRAMEF17
54,PRDM2
55,KAZN
56,TMEM51-AS1
57,TMEM51
58,CTRC
59,CELA2A
60,CELA2B
61,DNAJC16
62,AGMAT
63,SPEN
64,ARHGEF19
65,SPATA21
66,CROCCP3
67,CROCC
68,ATP13A2
69,SDHB
70,PADI2
71,PADI3
72,PADI4
73,ARHGEF10L
74,ACTL8
75,TAS1R2
76,ALDH4A1
77,UBR4
78,LOC101927895
79,EMC1
80,MRTO4
81,AKR7A2
82,VWA5B1
83,PINK1
84,PINK1-AS
85,DDOST
86,KIF17
87,EIF4G3
88,ECE1
89,RAP1GAP
90,LDLRAD2
91,HSPG2
92,ZBTB40
93,C1QC
94,C1QB
95,EPHB2
96,LACTBL1
97,LUZP1
98,ASAP3
99,LYPLA2
100,GALE
101,FUCA1
102,CNR2
103,MYOM3
104,GRHL3
105,STPG1
106,NIPAL3
107,CLIC4
108,LDLRAP1
109,PAQR7
110,ZNF593
111,CNKSR1
112,CATSPER4
113,AIM1L
114,ZNF683
115,LIN28A
116,DHDDS
117,MIR1976
118,RPS6KA1
119,ARID1A
120,GPATCH3
121,SLC9A1
122,MAP3K6
123,GPR3
124,AHDC1
125,THEMIS2
126,SMPDL3B
127,RCC1
128,EPB41
129,PTPRU
130,MATN1
131,TINAGL1
132,PEF1
133,COL16A1
134,BAI2
135,SPOCD1
136,KHDRBS1
137,TXLNA
138,CCDC28B
139,TMEM234
140,KIAA1522
141,FNDC5
142,TMEM54
143,AK2
144,PHC2
145,CSMD2
146,DLGAP3
147,SFPQ
148,NCDN
149,CLSPN
150,AGO1
151,AGO3
152,TEKT2
153,COL8A2
154,MAP7D1
155,SH3D21
156,OSCP1
157,CSF3R
158,GRIK3
159,CDCA8
160,YRDC
161,C1orf122
162,SF3A3
163,FHL3
164,AKIRIN1
165,MACF1
166,HPCAL4
167,PPIE
168,MFSD2A
169,COL9A2
170,SMAP2
171,NFYC
172,CITED4
173,SCMH1
174,HIVEP3
175,RIMKLA
176,ZMYND12
177,ERMAP
178,LOC339539
179,SLC2A1
180,WDR65
181,TMEM125
182,TIE1
183,MPL
184,MED8
185,SZT2
186,HYI
187,PTPRF
188,KDM4A
189,ST3GAL3
190,SLC6A9
191,ERI3
192,RNF220
193,BEST4
194,PLK3
195,BTBD19
196,PTCH2
197,HECTD3
198,TESK2
199,NSUN4
200,FAAH
201,MKNK1
202,TEX38
203,SLC5A9
204,SPATA6
205,DMRTA2
206,CDKN2C
207,EPS15
208,CC2D1B
209,ZCCHC11
210,ZYG11B
211,SCP2
212,SLC1A7
213,CPT2
214,GLIS1
215,SSBP3
216,ACOT11
217,PCSK9
218,C8B
219,C1orf87
220,KANK4
221,PGM1
222,CACHD1
223,JAK1
224,SLC35D1
225,SERBP1
226,LOC101929986
227,SLC44A5
228,RABGGTB
229,USP33
230,LPHN2
231,MCOLN3
232,CYR61
233,ZNHIT6
234,ODF2L
235,CLCA4
236,GTF2B
237,GBP6
238,GBP1P1
239,LRRC8C
240,HFM1
241,TGFBR3
242,KIAA1107
243,EVI5
244,MTF2
245,SLC44A3
246,DPYD
247,PALMD
248,SASS6
249,CDC14A
250,GPR88
251,LOC100129138
252,KIAA1324
253,SARS
254,CELSR2
255,SYPL2
256,ATXN7L2
257,GPR61
258,GSTM4
259,GSTM2
260,GSTM1
261,CSF1
262,AHCYL1
263,ALX3
264,SLC6A17
265,RBM15
266,OVGP1
267,WDR77
268,FAM212B
269,MOV10
270,RHOC
271,PPM1J
272,AKR7A2P1
273,MAGI3
274,PHTF1
275,NGF
276,SLC22A15
277,ATP1A1
278,CD58
279,IGSF3
280,CD101
281,TTF2
282,TRIM45
283,HAO2
284,HSD3B2
285,HSD3B1
286,HSD3BP4
287,PHGDH
288,ADAM30
289,NBPF8
290,LOC100996721
291,FCGR1B
292,FCGR1C
293,POLR3C
294,PIAS3
295,ITGA10
296,PEX11B
297,LIX1L
298,HFE2
299,NOTCH2NL
300,FMO5
301,CHD1L
302,PDE4DIP
303,LOC100996717
304,FCGR1A
305,HIST2H4A
306,HIST2H2AA3
307,HIST2H4B
308,SV2A
309,SF3B4
310,MTMR11
311,APH1A
312,C1orf51
313,TARS2
314,ECM1
315,MCL1
316,ENSA
317,PRUNE
318,GABPB2
319,SEMA6C
320,ZNF687
321,PI4KB
322,SELENBP1
323,TCHH
324,RPTN
325,HRNR
326,FLG
327,CRNN
328,S100A7L2
329,S100A16
330,INTS3
331,DENND4B
332,CRTC2
333,JTB
334,TPM3
335,UBAP2L
336,ATP8B2
337,SHE
338,TDRD10
339,UBE2Q1
340,ADAR
341,PBXIP1
342,SHC1
343,ZBTB7B
344,DCST2
345,ADAM15
346,EFNA4
347,RP11-307C12.11
348,EFNA1
349,KRTCAP2
350,MUC1
351,THBS3
352,MSTO2P
353,GON4L
354,RIT1
355,RXFP4
356,ARHGEF2
357,UBQLN4
358,RAB25
359,SEMA4A
360,PMF1
361,SMG5
362,CCT3
363,RHBG
364,MEF2D
365,IQGAP3
366,TTC24
367,APOA1BP
368,HAPLN2
369,NES
370,ISG20L2
371,INSRR
372,PEAR1
373,ARHGEF11
374,ETV3
375,FCRL5
376,FCRL3
377,CD5L
378,KIRREL
379,CD1C
380,CD1E
381,OR10Z1
382,SPTA1
383,OR6K2
384,LOC100131825
385,CADM3
386,SLAMF8
387,C1orf204
388,CCDC19
389,TAGLN2
390,ATP1A2
391,PEA15
392,DCAF8
393,VANGL2
394,CD48
395,SLAMF7
396,ITLN1
397,F11R
398,PPOX
399,ADAMTS4
400,ATF6
401,NOS1AP
402,DDR2
403,C1orf110
404,MGST3
405,POGK
406,GPA33
407,DUSP27
408,CD247
409,RCSD1
410,ADCY10
411,TBX19
412,SLC19A2
413,SELE
414,PRRC2C
415,MYOC
416,SLC9C2
417,ZBTB37
418,TNR
419,PAPPA2
420,ASTN1
421,BRINP2
422,RASAL2
423,RALGPS2
424,FAM20B
425,ABL2
426,AXDND1
427,FAM163A
428,TOR1AIP2
429,TOR1AIP1
430,QSOX1
431,CACNA1E
432,ZNF648
433,RGSL1
434,RGS16
435,NPL
436,LAMC1
437,LAMC2
438,NCF2
439,RGL1
440,COLGALT2
441,EDEM3
442,RNF2
443,C1orf27
444,CDC73
445,KCNT2
446,CFH
447,ASPM
448,FLJ43585
449,CAMSAP2
450,GPR25
451,C1orf106
452,KIF21B
453,CACNA1S
454,IGFN1
455,CSRP1
456,IPO9
457,RNPEP
458,PTPN7
459,UBE2T
460,PPP1R12B
461,RP11-480I12.7
462,TMEM183A
463,PPFIA4
464,CHIT1
465,PRELP
466,ATP2B4
467,ZBED6
468,ETNK2
469,REN
470,PLEKHA6
471,PIK3C2B
472,LRRN2
473,NFASC
474,CNTN2
475,RBBP5
476,TMCC2
477,SLC41A1
478,LOC101059976
479,SLC26A9
480,CTSE
481,SRGAP2
482,MIR6769B
483,EIF2D
484,IL10
485,IL20
486,FCAMR
487,C1orf116
488,PFKFB2
489,C4BPB
490,CR2
491,CAMK1G
492,LAMB3
493,TRAF3IP3
494,SERTAD4
495,NSL1
496,ANGEL2
497,PROX1
498,SMYD2
499,PTPN14
500,CENPF
501,USH2A
502,ESRRG
503,LYPLAL1
504,RAB3GAP2
505,AIDA
506,DISP1
507,TLR5
508,SUSD4
509,WDR26
510,LOC101928291
511,EPHX1
512,TMEM63A
513,PYCR2
514,LEFTY2
515,PARP1
516,C1orf95
517,ITPKB
518,PSEN2
519,CDC42BPA
520,PRSS38
521,WNT9A
522,OBSCN
523,TRIM11
524,NUP133
525,URB2
526,CAPN9
527,TTC13
528,C1orf131
529,DISC1
530,SIPA1L2
531,PCNXL2
532,LYST
533,NID1
534,ACTN2
535,MTR
536,RYR2
537,ZP4
538,FMN2
539,EXO1
540,MAP1LC3C
541,PLD5
542,RP11-261C10.3
543,SMYD3
544,LOC149134
545,ZNF695
546,NLRP3
547,OR2B11
548,OR2L8
549,OR2L3
550,OR2L13
551,SH3YL1
552,TPO
553,MYT1L
554,RNF144A
555,ASAP2
556,IAH1
557,TAF1B
558,CYS1
559,PDIA6
560,GREB1
561,DDX1
562,VSNL1
563,SMC6
564,PUM2
565,GDF7
566,APOB
567,MFSD2B
568,FAM228A
569,ITSN2
570,CENPO
571,ADCY3
572,DNMT3A
573,ASXL2
574,KIF3C
575,GAREML
576,GPR113
577,DRC1
578,MAPRE3
579,TMEM214
580,CGREF1
581,ABHD1
582,TCF23
583,SLC5A6
584,ATRAID
585,CAD
586,AC109828.1
587,GTF3C2
588,IFT172
589,GCKR
590,C2orf16
591,ZNF512
592,CCDC121
593,GPN1
594,RBKS
595,AC093690.1
596,WDR43
597,FAM179A
598,C2orf71
599,CAPN13
600,CAPN14
601,SLC30A6
602,YIPF4
603,LTBP1
604,RASGRP3
605,CEBPZ
606,PRKD3
607,ATL2
608,SRSF7
609,SLC8A1
610,PLEKHH2
611,ABCG8
612,SRBD1
613,TTC7A
614,MSH2
615,KCNK12
616,MSH6
617,NRXN1
618,PSME4
619,TSPYL6
620,SPTBN1
621,EML6
622,CCDC104
623,SMEK2
624,VRK2
625,PAPOLG
626,USP34
627,B3GNT2
628,CEP68
629,SPRED2
630,MEIS1-AS3
631,MEIS1
632,PLEK
633,APLF
634,PROKR1
635,AAK1
636,GMCL1
637,PCYOX1
638,MPHOSPH10
639,DYSF
640,SPR
641,SMYD5
642,CCT7
643,FBXO41
644,ALMS1
645,DUSP11
646,C2orf78
647,ACTG2
648,DGUOK
649,SLC4A5
650,DCTN1
651,TTC31
652,DQX1
653,HTRA2
654,DOK1
655,SEMA4F
656,HK2
657,EVA1A
658,LRRTM4
659,SUCLG1
660,DNAH6
661,TGOLN2
662,SFTPB
663,ATOH8
664,POLR1A
665,CD8B
666,RGPD1
667,LOC285074
668,RGPD2
669,SMYD1
670,FABP1
671,LOC100509620
672,MRPS5
673,GPAT2
674,ASTL
675,CIAO1
676,KANSL3
677,FER1L5
678,CNNM4
679,ANKRD23
680,SEMA4C
681,FAM178B
682,FAHD2B
683,INPP4A
684,MGAT4A
685,KIAA1211L
686,NMS
687,MAP4K4
688,IL18RAP
689,POU3F3
690,UXS1
691,RGPD3
692,SLC5A7
693,SULT1C2
694,RANBP2
695,SH3RF3
696,SH3RF3-AS1
697,SOWAHC
698,ANAPC1
699,MERTK
700,FBLN7
701,CKAP2L
702,IL36G
703,IL36RN
704,PSD4
705,PAX8
706,PAX8-AS1
707,CBWD2
708,WASH2P
709,RABL2A
710,EN1
711,MARCO
712,STEAP3
713,SCTR
714,TMEM185B
715,CLASP1
716,GYPC
717,BIN1
718,PROC
719,MYO7B
720,LIMS2
721,WDR33
722,LOC101928657
723,POTEF
724,SMPD4
725,MZT2B
726,IMP4
